MSSubClass,MSZoning,LotArea,YearBuilt,OverallQual,OverallCond,ExterQual,Foundation,TotalBsmtSF,GrLivArea,GarageCars,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
80,RL,17369,1939,2,7,Gd,Slab,282,1799,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1938,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2787,0,0,0,0,3,0,4,1,TA,3,Typ,2,,Attchd,1983,RFn,452,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD,Normal,379234.1879949627
50,RL,4041,2019,5,10,Po,BrkTil,1081,1324,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1989,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2813,0,0,0,0,1,1,4,1,TA,8,Typ,2,,Attchd,1938,RFn,552,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2006,WD,Normal,405726.69253785827
60,RL,1105,1927,6,2,Gd,BrkTil,2881,2786,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1967,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1412,0,0,0,0,3,1,1,1,TA,4,Typ,2,,Attchd,1966,RFn,684,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2006,WD,Normal,502773.83276834054
80,RH,10078,1946,7,4,Fa,BrkTil,2584,2849,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1954,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,996,0,0,0,0,1,0,1,1,TA,7,Typ,0,,Attchd,1904,RFn,329,TA,TA,Y,0,0,0,0,0,0,,,,0,1,2009,WD,Normal,520733.1904984435
40,FV,19279,1938,5,2,Gd,Slab,1908,1915,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1944,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1963,0,0,0,0,3,0,2,1,TA,7,Typ,1,,Attchd,1964,RFn,218,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2006,WD,Normal,435846.60553466773
90,RH,7090,1969,9,6,Ex,Slab,2970,1468,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1975,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2271,0,0,0,0,3,0,4,1,TA,8,Typ,1,,Attchd,1914,RFn,207,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2008,WD,Normal,503003.4864918052
60,FV,7082,1972,1,8,Ex,PConc,1152,868,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1900,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,657,0,0,0,0,2,0,2,1,TA,5,Typ,1,,Attchd,1989,RFn,669,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2007,WD,Normal,305556.9426858911
60,RH,18018,1919,7,10,Po,CBlock,2889,732,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1920,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,671,0,0,0,0,1,0,1,1,TA,7,Typ,1,,Attchd,1966,RFn,739,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD,Normal,417448.3426592282
80,RH,2925,1900,10,4,TA,PConc,947,2742,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1982,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,993,0,0,0,0,2,1,5,1,TA,7,Typ,2,,Attchd,1939,RFn,84,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD,Normal,565557.5458935661
30,C,19440,1971,7,5,Fa,Slab,664,1406,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1920,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1469,0,0,0,0,1,0,5,1,TA,3,Typ,0,,Attchd,2004,RFn,684,TA,TA,Y,0,0,0,0,0,0,,,,0,1,2008,WD,Normal,468355.1223034591
40,RH,7917,2018,4,4,Fa,BrkTil,1717,3583,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1951,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1834,0,0,0,0,2,1,1,1,TA,8,Typ,1,,Attchd,2010,RFn,244,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2008,WD,Normal,518234.4403299462
80,RM,1552,1986,9,3,TA,Slab,1148,1420,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1981,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1926,0,0,0,0,3,0,4,1,TA,7,Typ,0,,Attchd,2005,RFn,684,TA,TA,Y,0,0,0,0,0,0,,,,0,12,2010,WD,Normal,500599.8355681475
40,C,4911,1962,5,5,Ex,CBlock,66,1188,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1942,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2192,0,0,0,0,2,1,5,1,TA,7,Typ,0,,Attchd,1997,RFn,334,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD,Normal,403173.3998117386
